6500|(0, 0, 0, 1000, 0, 0)|3668|(400, 100, 0, 400, 0, 100)|(300, 0, 0, 700, 0, 0)|5002.412087912088|(0, 0, 0, 1000, 0, 0)|7700
6500|(0, 0, 0, 1000, 0, 0)|3681|(400, 100, 0, 400, 0, 100)|(500, 0, 0, 500, 0, 0)|5002|(0, 0, 0, 1000, 0, 0)|7500
6700|(1000, 0, 0, 0, 0, 0)|3690|(300, 300, 0, 400, 0, 0)|(200, 0, 0, 800, 0, 0)|5001|(0, 0, 0, 1000, 0, 0)|7800
6700|(1000, 0, 0, 0, 0, 0)|3685|(300, 300, 0, 400, 0, 0)|(100, 0, 0, 900, 0, 0)|5002|(0, 0, 0, 1000, 0, 0)|7900
6700|(1000, 0, 0, 0, 0, 0)|3707|(300, 300, 0, 400, 0, 0)|(300, 0, 0, 700, 0, 0)|5002|(0, 0, 0, 1000, 0, 0)|7700
6800|(0, 0, 0, 1000, 0, 0)|3676|(400, 100, 0, 500, 0, 0)|(400, 0, 0, 600, 0, 0)|5001|(0, 0, 0, 1000, 0, 0)|7600
7300|(0, 0, 0, 1000, 0, 0)|3693|(400, 0, 0, 500, 0, 100)|(700, 0, 0, 300, 0, 0)|5001|(0, 0, 0, 1000, 0, 0)|7300
6700|(1000, 0, 0, 0, 0, 0)|3693|(300, 300, 0, 400, 0, 0)|(900, 0, 0, 100, 0, 0)|5000|(0, 0, 0, 500, 0, 500)|7213
6800|(0, 0, 0, 1000, 0, 0)|3681|(400, 100, 0, 500, 0, 0)|(600, 0, 0, 400, 0, 0)|5001|(0, 0, 0, 1000, 0, 0)|7400
7300|(0, 0, 0, 1000, 0, 0)|3692|(400, 0, 0, 500, 0, 100)|(700, 0, 0, 300, 0, 0)|5002|(0, 0, 0, 1000, 0, 0)|7300
6500|(0, 0, 0, 1000, 0, 0)|3668|(400, 100, 0, 400, 0, 100)|(300, 0, 0, 700, 0, 0)|5001|(0, 0, 0, 1000, 0, 0)|7700
6500|(0, 0, 0, 1000, 0, 0)|3694|(400, 100, 0, 400, 0, 100)|(300, 0, 0, 700, 0, 0)|5002|(0, 0, 0, 1000, 0, 0)|7700
6500|(0, 0, 0, 1000, 0, 0)|3700|(400, 100, 0, 400, 0, 100)|(500, 0, 0, 500, 0, 0)|5001|(0, 0, 0, 1000, 0, 0)|7500
